PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,SIZE_CATEGORY,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,GENERAL_USE_CATEGORY,NEIGHBORHOOD_DENSITY
154-73,1749 Massachusetts Ave,GEN-OFFICE,3382.0,42.38469798249467,-71.11903631455134,,,,,,,8.0,340,,False,Small,410.9437130349127,0.5915915710447879,Commercial,24
133-15,1208-1210 Massachusetts Ave,RETAIL-OFFIC,3118.0,42.37185348731224,-71.11541498412934,,,,,,,7.0,345,,False,Small,442.6471433292647,0.5600837325055781,Commercial,51
117-29,875 Massachusetts Ave,OFFICE-CONDO,9265.0,42.367925680387785,-71.10726678995668,,,,,,,6.0,343,,False,Medium,576.1722765202416,0.4273823718500634,Commercial,34
174-26,1692 Massachusetts Ave,GEN-OFFICE,6397.0,42.382871554410755,-71.11999731983504,,,,,,,9.0,340,,False,Medium,623.562765559313,0.38028425460931603,Commercial,42
174-32,1678 Massachusetts Ave,MULTIUSE-COM,2562.0,42.38237856405532,-71.12010315886837,,,,,,,9.0,31,,False,Small,679.5036178347807,0.32468852490825506,Other,42
90-169,617 Massachusetts Ave,RETAIL-OFFIC,25569.0,42.36564652528508,-71.10293795716362,,,,,,,4.0,345,,False,Large,109.01627326962566,0.8916562938321012,Commercial,23
121-113,1000 Massachusetts Ave,Private College,39511.0,42.36873772808739,-71.11083322580915,,,,,,,7.0,942,Educ NonTax,False,Large,958.5245874326108,0.047388952668957846,Educational,51
156-24,1663 Massachusetts Ave,Higher Ed and Comm Mixed,12951.0,42.38188745558332,-71.11929270220531,,,,,,,8.0,942,Educ NonTax,False,Medium,723.6221819618819,0.2808421467027358,Other,24
92-117,408 Massachusetts Ave,Charitable Services,27000.0,42.36309499166503,-71.10058333602541,,,,,,,5.0,957,Religious NonTax,False,Large,340.73532630581775,0.6613668127968708,Other,25
134-56,1105 Massachusetts Ave,MULTIUSE-RES,31016.0,42.370704974068744,-71.11316771794078,,,,,,,6.0,13,,True,Large,722.7514144930927,0.2817075420418859,Other,34
69-159,350 Massachusetts Ave,INV-OFFICE,24684.0,42.36240273512264,-71.09963062045425,,,,,,,5.0,346,,False,Large,471.16716757359217,0.5317396602496272,Commercial,25
92-57,380 Massachusetts Ave,Government Operations,10000.0,42.36294088112463,-71.10015509295548,,,,,,,5.0,930,City NonTax,False,Medium,390.3344336447183,0.6120737031486881,Other,25
105-68,744 Massachusetts Ave,RETAIL-STORE,11449.0,42.36605195422651,-71.10545147632855,,,,,,,7.0,325,,False,Medium,291.50818834765687,0.7102902478993952,Commercial,51
116-68,991 Massachusetts Ave,MXD >8-UNIT-APT,5000.0,42.36945197074057,-71.11091957314761,,,,,,,6.0,112,,False,Small,1006.2077173240189,0.0,Multi-Family,34
181-207,1989 Massachusetts Ave,MXD >8-UNIT-APT,50485.0,42.39078159353434,-71.12100567464431,,,,,,,11.0,112,,True,Large,345.6134070775623,0.6565188269508493,Multi-Family,28
155-42,1685 Massachusetts Ave,RETAIL-STORE,5786.0,42.382822778534056,-71.11935575953025,,,,,,,8.0,325,,False,Small,620.3297751727716,0.3834972993225283,Commercial,24
116-98,929 Massachusetts Ave,MULTIUSE-RES,26268.0,42.36898543381626,-71.10887310238328,,,,,,,6.0,13,,False,Large,789.1860639529806,0.21568275579141974,Other,34
121-94,1028 Massachusetts Ave,RETAIL-OFFIC,22556.0,42.369415225495125,-71.11228160730613,,,,,,,7.0,345,,False,Large,878.5784141790273,0.12684190445728058,Commercial,51
155-32,1699 Massachusetts Ave,MXD >8-UNIT-APT,13035.0,42.38307087890626,-71.11912740155746,,,,,,,8.0,112,,False,Medium,591.7014562411191,0.41194899815046887,Multi-Family,24
179-52,1979 Massachusetts Ave,MXD >8-UNIT-APT,5832.0,42.390353023988496,-71.12068219754387,,,,,,,11.0,112,,True,Small,286.1150967963521,0.7156500672075273,Multi-Family,28
116-12,1003 Massachusetts Ave,RETAIL-STORE,23648.0,42.369687813636205,-71.11122766229747,,,,,,,6.0,325,,False,Large,965.8558691055662,0.04010290074674372,Commercial,34
93-75,536 Massachusetts Ave,RETAIL-OFFIC,6058.0,42.36419134928853,-71.10231751135387,,,,,,,5.0,345,Other NonTax,False,Medium,113.06273637128919,0.8876347950580459,Commercial,25
178-106,1986 Massachusetts Ave,GEN-OFFICE,7972.0,42.39005337092466,-71.12108072092873,,,,,,,11.0,340,,False,Medium,294.997718987318,0.7068222456374553,Commercial,28
174-36,1670 Massachusetts Ave,RETAIL-STORE,5750.0,42.38208014940651,-71.12007117763031,,,,,,,9.0,325,,False,Small,711.5085543979527,0.2928810402188231,Commercial,42
