PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,CORRIDOR_SEGMENT
154-73,1749 Massachusetts Ave,GEN-OFFICE,3382.0,42.38469798249467,-71.11903631455134,,,,,,,8.0,340,,False,Porter Square Area
133-15,1208-1210 Massachusetts Ave,RETAIL-OFFIC,3118.0,42.371853487312244,-71.11541498412934,,,,,,,7.0,345,,False,Harvard Square Area
117-29,875 Massachusetts Ave,OFFICE-CONDO,9265.0,42.367925680387785,-71.10726678995668,,,,,,,6.0,343,,False,Harvard Square Area
105-82,347 Green St,RETAIL-STORE,9360.0,42.36543576721375,-71.10477894969067,,,,,,,7.0,325,,False,Central Square Area
174-26,1692 Massachusetts Ave,GEN-OFFICE,6397.0,42.382871554410755,-71.11999731983504,,,,,,,9.0,340,,False,Porter Square Area
90-169,617 Massachusetts Ave,RETAIL-OFFIC,25569.0,42.36564652528508,-71.10293795716362,,,,,,,4.0,345,,False,Central Square Area
156-24,1663 Massachusetts Ave,Higher Ed and Comm Mixed,12951.0,42.38188745558332,-71.11929270220531,,,,,,,8.0,942,Educ NonTax,False,Porter Square Area
168-48,22 Hilliard St,GEN-OFFICE,5198.0,42.373890729598294,-71.12373399870197,,,,,,,10.0,340,,False,Harvard Square Area
69-159,350 Massachusetts Ave,INV-OFFICE,24684.0,42.36240273512264,-71.09963062045425,,,,,,,5.0,346,,False,Central Square Area
90-13,76 Prospect St,RETAIL-OFFIC,8250.0,42.36682193570246,-71.10241674532915,,,,,,,4.0,345,,False,Central Square Area
105-68,744 Massachusetts Ave,RETAIL-STORE,11449.0,42.36605195422651,-71.10545147632855,,,,,,,7.0,325,,False,Central Square Area
105-123,282 Franklin St,GEN-OFFICE,3233.0,42.36455680381559,-71.10569224629005,,,,,,,5.0,340,Other NonTax,False,Central Square Area
169-86,47 Brattle St,RETAIL-STORE,5591.0,42.374100915035726,-71.12142412877105,,,,,,,10.0,325,,False,Harvard Square Area
160-83,20 Holyoke St,RETAIL-STORE,1016.0,42.372283968925785,-71.11820074982684,,,,,,,7.0,325,,False,Harvard Square Area
155-42,1685 Massachusetts Ave,RETAIL-STORE,5786.0,42.382822778534056,-71.11935575953025,,,,,,,8.0,325,,False,Porter Square Area
83-99,1343 Cambridge St,RETAIL-STORE,3887.0,42.37384267634701,-71.09994203133238,,,,,,,3.0,325,,False,Harvard Square Area
169-84,66 Church St,RETAIL-OFFIC,10175.0,42.37393865351065,-71.12120110197587,,,,,,,10.0,345,,False,Harvard Square Area
70-92,1-7 Village St,RETAIL-STORE,11651.0,42.36237666416836,-71.09807321042844,,,,,,,4.0,325,,False,Central Square Area
166-35,134 Mt Auburn St,GEN-OFFICE,3312.0,42.3736164125084,-71.1240878919215,,,,,,,10.0,340,,False,Harvard Square Area
121-94,1028 Massachusetts Ave,RETAIL-OFFIC,22556.0,42.369415225495125,-71.11228160730613,,,,,,,7.0,345,,False,Harvard Square Area
116-12,1003 Massachusetts Ave,RETAIL-STORE,23648.0,42.369687813636205,-71.11122766229747,,,,,,,6.0,325,,False,Harvard Square Area
93-75,536 Massachusetts Ave,RETAIL-OFFIC,6058.0,42.36419134928853,-71.10231751135387,,,,,,,5.0,345,Other NonTax,False,Central Square Area
178-106,1986 Massachusetts Ave,GEN-OFFICE,7972.0,42.39005337092466,-71.12108072092873,,,,,,,11.0,340,,False,Porter Square Area
174-36,1670 Massachusetts Ave,RETAIL-STORE,5750.0,42.38208014940651,-71.12007117763031,,,,,,,9.0,325,,False,Porter Square Area
93-76,522 Massachusetts Ave,RETAIL-STORE,4473.0,42.36413650305133,-71.1021459595976,,,,,,,5.0,325,,False,Central Square Area
75-128,102 Columbia St,RETAIL-STORE,2852.0,42.365807041512035,-71.09823207992619,,,,,,,4.0,325,,False,Central Square Area
174-31,1680 Massachusetts Ave,RETAIL-OFFIC,2885.0,42.38244476970382,-71.12008778018743,,,,,,,9.0,345,,False,Porter Square Area
91-63,877 Main St,GEN-OFFICE,3916.0,42.36367304436708,-71.0990731350019,,,,,,,4.0,340,,False,Central Square Area
90-162,30 Prospect St,RETAIL-STORE,15920.0,42.36598366292017,-71.10310559947021,,,,,,,4.0,325,,False,Central Square Area
117-25,1 Arnold Cir,GEN-OFFICE,1291.0,42.36845171306107,-71.10803968594281,,,,,,,6.0,340,,False,Harvard Square Area
175-68,1734 Massachusetts Ave,GEN-OFFICE,10519.0,42.38432512184355,-71.11991420369613,,,,,,,9.0,340,,False,Porter Square Area
119-90,910 Massachusetts Ave,RETAIL-CONDO,5326.0,42.368161153706794,-71.10869408205932,,,,,,,7.0,327,,False,Harvard Square Area
128-63,340 River St,RETAIL-STORE,57030.0,42.361891209144964,-71.11374407436887,,,,,,,5.0,325,,False,Central Square Area
162-73,54 Jfk St,RETAIL-OFFIC,4090.0,42.37186859857156,-71.12040214602904,,,,,,,7.0,345,,False,Harvard Square Area
117-1,907 Massachusetts Ave,GEN-OFFICE,5111.0,42.368520037213514,-71.10836974853724,,,,,,,6.0,340,,False,Harvard Square Area
111-60,1481 Cambridge St,"Hospitals, Medical Office",179200.0,42.37463453711508,-71.10398918384146,,,,,,,6.0,955,City NonTax,False,Harvard Square Area
178-1,2000 Massachusetts Ave,RETAIL-OFFIC,8969.0,42.3902317621417,-71.12143773797571,,,,,,,11.0,345,,False,Porter Square Area
169-82,32 Church St,RETAIL-OFFIC,5122.0,42.374286619209386,-71.12028116798407,,,,,,,10.0,345,Educ NonTax,False,Harvard Square Area
69-162,7 Landsdowne St,RETAIL-STORE,718.0,42.36161629818869,-71.09816344077748,,,,,,,5.0,325,,False,Central Square Area
90-170,641 Massachusetts Ave,RETAIL-OFFIC,19577.0,42.36580054274533,-71.10304273526933,,,,,,,4.0,345,,False,Central Square Area
157-26,1607 Massachusetts Ave,RETAIL-STORE,8377.0,42.38016106778192,-71.11950270371347,,,,,,,8.0,325,,False,Porter Square Area
107-9,731 Massachusetts Ave,RETAIL-STORE,9926.0,42.36653803261582,-71.10504044290862,,,,,,,6.0,325,,False,Central Square Area
90-155,561 Massachusetts Ave,RETAIL-STORE,14381.0,42.36479084044227,-71.1020278056514,,,,,,,4.0,325,,False,Central Square Area
93-74,544 Massachusetts Ave,RETAIL-OFFIC,4391.0,42.36428917299413,-71.10243122928382,,,,,,,5.0,345,,False,Central Square Area
166-52,146 Mt Auburn St,RETAIL-OFFIC,2570.0,42.37394190287046,-71.12490094576273,,,,,,,10.0,345,,False,Harvard Square Area
178-91,1876 Massachusetts Ave,RETAIL-OFFIC,4228.0,42.38827695526066,-71.11973568147155,,,,,,,9.0,345,,False,Porter Square Area
90-133,583 Massachusetts Ave,RETAIL-OFFIC,18218.0,42.36531370446843,-71.10234335372694,,,,,,,4.0,345,,False,Central Square Area
168-21,1 Mifflin Pl,INV-OFFICE,7139.0,42.37342580118339,-71.1225136729377,,,,,,,10.0,346,,False,Harvard Square Area
