PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,CORRIDOR_SEGMENT
151-77,7 Harris St,RES-UDV-LAND,294.0,42.38420102528296,-71.11453213759073,,,,,,,8.0,132,,False,Porter Square Area
154-73,1749 Massachusetts Ave,GEN-OFFICE,3382.0,42.38469798249467,-71.11903631455134,,,,,,,8.0,340,,False,Porter Square Area
133-15,1208-1210 Massachusetts Ave,RETAIL-OFFIC,3118.0,42.371853487312244,-71.11541498412934,,,,,,,7.0,345,,False,Harvard Square Area
154-47,55 Garfield St,4-8-UNIT-APT,6417.0,42.38388800546298,-71.1171787273383,,,,,,,8.0,111,,False,Porter Square Area
115-90,303 Harvard St,>8-UNIT-APT,7128.0,42.36999853411043,-71.10589939116437,,,,,,,6.0,112,,False,Harvard Square Area
79-35,330 Columbia St,TWO-FAM-RES,3212.0,42.37100420594583,-71.09521788741812,,,,,,,3.0,104,,False,Harvard Square Area
117-29,875 Massachusetts Ave,OFFICE-CONDO,9265.0,42.367925680387785,-71.10726678995668,,,,,,,6.0,343,,False,Harvard Square Area
154-80,10 Prentiss St,SNGL-FAM-RES,3197.0,42.38424704845438,-71.11864923406009,,,,,,,8.0,101,,False,Porter Square Area
200-50,13 Regent St,TWO-FAM-RES,4672.0,42.39027559695619,-71.12208454537294,,,,,,,11.0,104,,False,Porter Square Area
176-88,21 Lancaster St,TWO-FAM-RES,3328.0,42.385780146512076,-71.12106947196632,,,,,,,9.0,104,,True,Porter Square Area
94-119,5 Speridakis Ter,THREE-FM-RES,2663.0,42.360435262905135,-71.1067387800153,,,,,,,5.0,105,,True,Central Square Area
178-73,4 Porter Cir,TWO-FAM-RES,2300.0,42.38987981624631,-71.12162538180864,,,,,,,11.0,104,,False,Porter Square Area
214-8,38 Shepard St,4-8-UNIT-APT,10791.0,42.38069630457908,-71.12311745464356,,,,,,,9.0,111,,False,Porter Square Area
210-57,75 Washington Ave,THREE-FM-RES,9236.0,42.385784460313495,-71.12411154314147,,,,,,,9.0,105,,False,Porter Square Area
82-102,137-139 Tremont St,TWO-FAM-RES,3158.0,42.37402453626232,-71.09677373174884,,,,,,,3.0,104,,False,Harvard Square Area
90-75,26 Essex St,4-8-UNIT-APT,2979.0,42.36622015258123,-71.10176201956097,,,,,,,4.0,111,,False,Central Square Area
105-82,347 Green St,RETAIL-STORE,9360.0,42.36543576721375,-71.10477894969067,,,,,,,7.0,325,,False,Central Square Area
139-20,75-77 Dana St,4-8-UNIT-APT,4000.0,42.3741700456429,-71.107541498006,,,,,,,6.0,111,,False,Harvard Square Area
133-50,24 Arrow St,Religious,19406.0,42.37142690125974,-71.11571164767665,,,,,,,7.0,960,Religious NonTax,False,Harvard Square Area
90-102,87 Norfolk St,SNGL-FAM-RES,2790.0,42.36635686156926,-71.10069207715773,,,,,,,4.0,101,,False,Central Square Area
132-153,10 Dewolfe St,Private College Res Units,7876.0,42.37065628852717,-71.1160463609297,,,,,,,7.0,9421,Educ NonTax,False,Harvard Square Area
121-110,662 Green St,THREE-FM-RES,3760.0,42.36899962797631,-71.11310945740168,,,,,,,7.0,105,,False,Harvard Square Area
87-99,223 Norfolk St,SNGL-FAM-RES,2869.0,42.36971341094931,-71.0985121502212,,,,,,,4.0,101,,False,Harvard Square Area
104-63,57-59 Magazine St,>8-UNIT-APT,9808.0,42.36222044500153,-71.10800073629467,,,,,,,5.0,112,,True,Central Square Area
217-18,99 Brattle St,Private College,191486.0,42.37681604991062,-71.12497999290595,,,,,,,10.0,942,Educ NonTax,False,Porter Square Area
149-89,89 Museum St,TWO-FAM-RES,3313.0,42.3814728838764,-71.11238968259178,,,,,,,8.0,104,,False,Porter Square Area
123-53,78 Howard St,4-8-UNIT-APT,3600.0,42.36628070460954,-71.11067765141682,,,,,,,7.0,111,,False,Central Square Area
77-35,6 Union St,SNGL-FAM-RES,2875.0,42.36860894387052,-71.0956792905565,,,,,,,4.0,101,,False,Harvard Square Area
119-75,449-453 Franklin St,4-8-UNIT-APT,3636.0,42.36727531103395,-71.1094092888753,,,,,,,7.0,111,,True,Harvard Square Area
124-18,22-24 Soden St,THREE-FM-RES,2500.0,42.36606430240553,-71.1085299379221,,,,,,,7.0,105,,True,Central Square Area
172-71,25 Follen St,Other Educ & Research Org,15160.0,42.37908125106458,-71.12135808364484,,,,,,,9.0,943,Other NonTax,False,Porter Square Area
167-98,70 Brattle St,Private College,812.0,42.374881039837376,-71.12360894719077,,,,,,,10.0,942,Educ NonTax,False,Harvard Square Area
104-139,98 Pleasant St,THREE-FM-RES,2487.0,42.36173799041733,-71.11064655774778,,,,,,,5.0,105,,True,Central Square Area
106-11,101 Pearl St,TWO-FAM-RES,2772.0,42.362404834978115,-71.10530255134056,,,,,,,5.0,104,,True,Central Square Area
87-70,14 Tremont St,TWO-FAM-RES,4798.0,42.369642253669525,-71.09911810458898,,,,,,,4.0,104,,False,Harvard Square Area
