PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG
154-73,1749 Massachusetts Ave,GEN-OFFICE,3382.0,42.38469798249467,-71.11903631455134,,,,,,,8.0,340,,False
133-15,1208-1210 Massachusetts Ave,RETAIL-OFFIC,3118.0,42.371853487312244,-71.11541498412934,,,,,,,7.0,345,,False
117-29,875 Massachusetts Ave,OFFICE-CONDO,9265.0,42.367925680387785,-71.10726678995668,,,,,,,6.0,343,,False
174-26,1692 Massachusetts Ave,GEN-OFFICE,6397.0,42.382871554410755,-71.11999731983504,,,,,,,9.0,340,,False
174-32,1678 Massachusetts Ave,MULTIUSE-COM,2562.0,42.38237856405532,-71.12010315886837,,,,,,,9.0,31,,False
90-169,617 Massachusetts Ave,RETAIL-OFFIC,25569.0,42.36564652528508,-71.10293795716362,,,,,,,4.0,345,,False
121-113,1000 Massachusetts Ave,Private College,39511.0,42.368737728087396,-71.11083322580915,,,,,,,7.0,942,Educ NonTax,False
156-24,1663 Massachusetts Ave,Higher Ed and Comm Mixed,12951.0,42.38188745558332,-71.11929270220531,,,,,,,8.0,942,Educ NonTax,False
92-117,408 Massachusetts Ave,Charitable Services,27000.0,42.36309499166503,-71.10058333602541,,,,,,,5.0,957,Religious NonTax,False
134-56,1105 Massachusetts Ave,MULTIUSE-RES,31016.0,42.370704974068744,-71.11316771794078,,,,,,,6.0,13,,True
69-159,350 Massachusetts Ave,INV-OFFICE,24684.0,42.36240273512264,-71.09963062045425,,,,,,,5.0,346,,False
92-57,380 Massachusetts Ave,Government Operations,10000.0,42.36294088112463,-71.10015509295548,,,,,,,5.0,930,City NonTax,False
105-68,744 Massachusetts Ave,RETAIL-STORE,11449.0,42.36605195422651,-71.10545147632855,,,,,,,7.0,325,,False
116-68,991 Massachusetts Ave,MXD >8-UNIT-APT,5000.0,42.36945197074057,-71.11091957314761,,,,,,,6.0,112,,False
181-207,1989 Massachusetts Ave,MXD >8-UNIT-APT,50485.0,42.39078159353434,-71.12100567464431,,,,,,,11.0,112,,True
155-42,1685 Massachusetts Ave,RETAIL-STORE,5786.0,42.382822778534056,-71.11935575953025,,,,,,,8.0,325,,False
116-98,929 Massachusetts Ave,MULTIUSE-RES,26268.0,42.36898543381626,-71.10887310238328,,,,,,,6.0,13,,False
121-94,1028 Massachusetts Ave,RETAIL-OFFIC,22556.0,42.369415225495125,-71.11228160730613,,,,,,,7.0,345,,False
155-32,1699 Massachusetts Ave,MXD >8-UNIT-APT,13035.0,42.38307087890626,-71.11912740155746,,,,,,,8.0,112,,False
179-52,1979 Massachusetts Ave,MXD >8-UNIT-APT,5832.0,42.390353023988496,-71.12068219754387,,,,,,,11.0,112,,True
116-12,1003 Massachusetts Ave,RETAIL-STORE,23648.0,42.369687813636205,-71.11122766229747,,,,,,,6.0,325,,False
93-75,536 Massachusetts Ave,RETAIL-OFFIC,6058.0,42.36419134928853,-71.10231751135387,,,,,,,5.0,345,Other NonTax,False
178-106,1986 Massachusetts Ave,GEN-OFFICE,7972.0,42.39005337092466,-71.12108072092873,,,,,,,11.0,340,,False
174-36,1670 Massachusetts Ave,RETAIL-STORE,5750.0,42.38208014940651,-71.12007117763031,,,,,,,9.0,325,,False
93-76,522 Massachusetts Ave,RETAIL-STORE,4473.0,42.36413650305133,-71.1021459595976,,,,,,,5.0,325,,False
119-7,878 Massachusetts Ave,MULTIUSE-RES,9850.0,42.36756384372414,-71.10803030868344,,,,,,,7.0,13,,False
174-31,1680 Massachusetts Ave,RETAIL-OFFIC,2885.0,42.38244476970382,-71.12008778018743,,,,,,,9.0,345,,False
117-23,891 Massachusetts Ave,>8-UNIT-APT,5017.0,42.36825284274556,-71.10797356640995,,,,,,,6.0,112,,False
156-26,1637-1653 Massachusetts Ave,Private College Res Units,42820.0,42.38123448940702,-71.11927102553473,,,,,,,8.0,9421,Educ NonTax,False
199-32,2130 Massachusetts Ave,MXD >8-UNIT-APT,39199.0,42.39172195880485,-71.12453770500571,,,,,,,11.0,112,,True
157-39,1619 Massachusetts Ave,MXD >8-UNIT-APT,14080.0,42.38038358369073,-71.11932145269176,,,,,,,8.0,112,,True
177-79,1840 Massachusetts Ave,PARKING-LOT,13263.0,42.38755622230179,-71.1195546711755,,,,,,,9.0,337,,False
175-68,1734 Massachusetts Ave,GEN-OFFICE,10519.0,42.38432512184355,-71.11991420369613,,,,,,,9.0,340,,False
53-59,149 Massachusetts Ave,Private College,15273.0,42.3608313140556,-71.09562082285707,,,,,,,4.0,942,Educ NonTax,False
119-90,910 Massachusetts Ave,RETAIL-CONDO,5326.0,42.368161153706794,-71.10869408205932,,,,,,,7.0,327,,False
160-74,1328 Massachusetts Ave,MXD 4-8-UNIT-APT,2029.0,42.372831336231094,-71.11792903332692,,,,,,,7.0,111,,False
119-9,860 Massachusetts Ave,MXD >8-UNIT-APT,35914.0,42.36721495976062,-71.10729070838707,,,,,,,7.0,112,,True
91-195,453 Massachusetts Ave,PARKING-LOT,27800.0,42.36417368769274,-71.10020018952315,,,,,,,4.0,337,City NonTax,False
93-81,492 Massachusetts Ave,MXD >8-UNIT-APT,4147.0,42.36384642419921,-71.10175216270125,,,,,,,5.0,112,,False
117-1,907 Massachusetts Ave,GEN-OFFICE,5111.0,42.368520037213514,-71.10836974853724,,,,,,,6.0,340,,False
178-1,2000 Massachusetts Ave,RETAIL-OFFIC,8969.0,42.3902317621417,-71.12143773797571,,,,,,,11.0,345,,False
160-25,1304 Massachusetts Ave,MXD >8-UNIT-APT,9116.0,42.372754857154156,-71.11748127397219,,,,,,,7.0,112,,False
90-170,641 Massachusetts Ave,RETAIL-OFFIC,19577.0,42.36580054274533,-71.10304273526933,,,,,,,4.0,345,,False
91-118,515 Massachusetts Ave,BANK,9189.0,42.36451905731942,-71.10161468281288,,,,,,,4.0,341,,False
172-104,1570 Massachusetts Ave,SNGL-FAM-RES,1998.0,42.37875524733567,-71.12056614535956,,,,,,,9.0,101,,False
157-26,1607 Massachusetts Ave,RETAIL-STORE,8377.0,42.38016106778192,-71.11950270371347,,,,,,,8.0,325,,False
107-9,731 Massachusetts Ave,RETAIL-STORE,9926.0,42.36653803261582,-71.10504044290862,,,,,,,6.0,325,,False
90-155,561 Massachusetts Ave,RETAIL-STORE,14381.0,42.36479084044227,-71.1020278056514,,,,,,,4.0,325,,False
93-74,544 Massachusetts Ave,RETAIL-OFFIC,4391.0,42.36428917299413,-71.10243122928382,,,,,,,5.0,345,,False
178-91,1876 Massachusetts Ave,RETAIL-OFFIC,4228.0,42.38827695526066,-71.11973568147155,,,,,,,9.0,345,,False
90-133,583 Massachusetts Ave,RETAIL-OFFIC,18218.0,42.36531370446843,-71.10234335372694,,,,,,,4.0,345,,False
158-28,1555 Massachusetts Ave,Religious,11248.0,42.37790650646593,-71.11973449320625,,,,,,,8.0,960,Religious NonTax,False
172-12,1572 Massachusetts Ave,>8-UNIT-APT,12860.0,42.378912971729314,-71.12076459880713,,,,,,,9.0,112,,True
154-89,1741 Massachusetts Ave,RETAIL-STORE,3600.0,42.38458162513277,-71.11910431988984,,,,,,,8.0,325,,False
155-39,1713-5 Massachusetts Ave,4-8-UNIT-APT,14500.0,42.383549695796106,-71.1189891256042,,,,,,,8.0,111,Authority NonTax,False
134-32,1039 Massachusetts Ave,>8-UNIT-APT,11133.0,42.3701299428566,-71.11236779340796,,,,,,,6.0,112,,False
174-63,1686 Massachusetts Ave,RES-UDV-LAND,262.0,42.3826387741726,-71.12020746679302,,,,,,,9.0,132,,False
152-55,1853-1875 Massachusetts Ave,MBTA/Railroad,15268.0,42.38826340754585,-71.11908141886602,,,,,,,11.0,975,State NonTax,False
