PROPERTY_ID,ADDRESS,CORRIDOR_SEGMENT,TOTAL_VALUE,PRICE_PER_SQFT,RED_LINE_DISTANCE,NEAREST_STATION,ON_MASS_AVE,ON_MAIN_ST,LATITUDE,LONGITUDE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,ADDRESS_scores,SPATIAL_INVESTMENT_SCORE,TOTAL_VALUE_scores,RED_LINE_DISTANCE_scores,NEAREST_STATION_scores,PROPERTY_TYPE,LAND_VALUE,IMPROVEMENT_VALUE,SEGMENT_PSF_RATIO,VALUE_OPPORTUNITY_SCORE,TRANSIT_SCORE,PROXIMITY_ZONE,LIFECYCLE_SCORE,SIZE_EFFICIENCY,SEGMENT_VALUE_POSITION,INVESTMENT_TYPE,SEGMENT_VALUE_POSITION_NORMALIZED,COMPOSITE_INVESTMENT_SCORE,INVESTMENT_SCORE_100,ESTIMATED_PURCHASE_PRICE,TRANSACTION_COSTS,TOTAL_ACQUISITION_COST,RENOVATION_NEEDED,RENOVATION_COST,TOTAL_INVESTMENT,ANNUAL_RENT_POTENTIAL,LOCATION_RENT_MULTIPLIER,ADJUSTED_ANNUAL_RENT,ANNUAL_OPERATING_EXPENSES,NET_OPERATING_INCOME,VALUE_YEAR_1,VALUE_YEAR_2,VALUE_YEAR_3,VALUE_YEAR_4,VALUE_YEAR_5,EXIT_VALUE,EXIT_TRANSACTION_COSTS,NET_EXIT_VALUE,TOTAL_CASH_FLOW,TOTAL_RETURN,TOTAL_ROI_PERCENT,ANNUALIZED_ROI,ROI_SCORE,RISK_FACTOR,RISK_ADJUSTED_ROI,MARKET_CONCENTRATION_RISK,AGE_RISK,SIZE_RISK,LOCATION_RISK,RENT_RATIO,FINANCIAL_LEVERAGE_RISK,RENOVATION_RISK,PRICING_RISK,TOTAL_RISK_SCORE,MAX_POSSIBLE_RISK,RISK_SCORE_NORMALIZED,OVERALL_RISK_CATEGORY,RISK_ADJUSTED_INVESTMENT_SCORE
14120,1780 Massachusetts Ave,Mass Ave - Porter,7682200.0,567.2031896042528,280.7990007361036,Porter Square,True,False,42.38597272,-71.1197126,13544,1974,50,1780 Massachusetts Ave,75.0,7682200.0,280.7990007361036,Porter Square,Mixed-Use,2304660.0,5377540.0,0.630159209487458,1.0,0.7562439649948688,High,1.0,0.8,0.7316675265162018,Value-Add Opportunity,0.013660453615338984,0.7239808837220416,93.65335148240594,7682200.0,614576.0,8296776.0,1,1015800.0,9312576.0,579006.0,1.1,636906.6000000001,153644.0,483262.6000000001,8047584.173878836,8430346.910476832,8831314.776634518,9251353.652727898,9691370.602516102,9691370.602516102,387654.8241006441,9303715.778415458,2416313.0000000005,2407452.7784154583,25.85163093880209,4.70604838910087,0.2,1.0,4.70604838910087,Low,Low,Low,Low,14.621549499487836,Low,Low,Low,6,18,0.3333333333333333,Low Risk,103.01868663064654
6562,632 Massachusetts Ave,Mass Ave - Central,58910600.0,335.4034650224037,96.65227061995542,Central Square,True,False,42.36501937,-71.103967,175641,2001,23,632 Massachusetts Ave,80.0,58910600.0,96.65227061995542,Central Square,Mixed-Use,17673180.0,41237420.0,0.4068789557459683,1.0,0.9160980836868978,Premium,1.0,0.8,1.7436530869270903,Value-Add Opportunity,0.03255452955336635,0.7597305226480529,100.0,58910600.0,4712848.0,63623448.0,0,2634615.0,66258063.0,7508652.75,1.2,9010383.299999999,1178212.0,7832171.299999999,61806702.87768845,64845181.01344854,68033033.71461399,71377604.38133219,74886597.42250445,74886597.42250445,2995463.8969001784,71891133.52560428,39160856.49999999,44793927.02560428,67.60524681442057,10.881099045294174,0.6,1.0,10.881099045294174,Low,Low,High,Low,7.353522424121245,Low,Low,Low,8,18,0.4444444444444444,Medium Risk,100.0
12493,1713-5 Massachusetts Ave,Mass Ave - Porter,4287600.0,572.8256513026053,539.9365588095988,Porter Square,True,False,42.3835366,-71.11909322,7485,1992,32,1713-5 Massachusetts Ave,65.0,4287600.0,539.9365588095988,Porter Square,Mixed-Use,1286280.0,3001320.0,0.6364057294015638,1.0,0.5312917981021128,Medium,1.0,1.0,0.40835928336815847,Value-Add Opportunity,0.007624191106860981,0.7077831978417948,90.77776945784106,4287600.0,343008.0,4630608.0,0,112275.0,4742883.0,319983.75,1.0,319983.75,85752.0,234231.75,4481883.667135427,4684970.894144813,4897260.596014668,5119169.763733569,5351134.283368551,5351134.283368551,214045.37133474206,5137088.912033809,1171158.75,1565364.6620338093,33.00449667499302,5.8700857422962605,0.2,1.0,5.8700857422962605,Low,Low,Low,Medium,14.822215746219156,Low,Low,Low,7,18,0.3888888888888889,Low Risk,99.85554640362517
2582,265-275 Main St,Main St - Kendall,98423300.0,294.8800685493777,82.10711224614265,Kendall/MIT,False,True,42.36303088,-71.0859849,333774,1986,38,265-275 Main St,85.0,98423300.0,82.10711224614265,Kendall/MIT,Mixed-Use,29526990.0,68896310.0,0.13509454097083637,1.0,0.9287244467595156,Premium,1.0,0.8,0.5373331234265218,Value-Add Opportunity,0.01003217163880879,0.7577513236796648,99.6486319701091,98423300.0,7873864.0,106297164.0,0,5006610.0,111303774.0,14268838.5,1.2,17122606.2,1968466.0,15154140.2,103274313.24840745,108364419.5727047,113705403.21177366,119309629.21715882,125190072.07972306,125190072.07972306,5007602.883188923,120182469.19653414,75770701.0,84649396.19653416,76.05258398204373,11.976910455931344,0.6,1.0,11.976910455931344,Low,Low,High,Low,6.500398724325113,Low,Low,Low,8,18,0.4444444444444444,Medium Risk,99.6486319701091
2603,350 Main St,Main St - Kendall,28801400.0,659.9165979286959,88.5514292147524,Kendall/MIT,False,True,42.36219749,-71.08723818,43644,2001,23,350 Main St,85.0,28801400.0,88.5514292147524,Kendall/MIT,Mixed-Use,8640420.0,20160980.0,0.3023301314150528,1.0,0.9231302632030687,Premium,1.0,0.8,0.15723864390908074,Value-Add Opportunity,0.0029356929531725467,0.7552131912312483,99.19803624312738,28801400.0,2304112.0,31105512.0,0,654660.0,31760172.0,1865781.0,1.2,2238937.1999999997,576028.0,1662909.1999999997,30219330.439626172,31707067.441836752,33268047.674640026,34905876.99768706,36624338.791796625,36624338.791796625,1464973.551671865,35159365.24012476,8314545.999999998,11713739.240124762,36.88185076618843,6.480277361512887,0.2,1.0,6.480277361512887,Low,Low,High,Low,14.185372334082292,Low,Low,Low,8,18,0.4444444444444444,Medium Risk,99.19803624312738
2577,355 Main St,Main St - Kendall,210313300.0,768.0152643879637,112.02011204730888,Kendall/MIT,False,True,42.36290951,-71.08742237,273840,1982,42,355 Main St,75.0,210313300.0,112.02011204730888,Kendall/MIT,Mixed-Use,63093990.0,147219310.0,0.35185378961519653,1.0,0.9027575657965233,Premium,1.0,0.8,1.148186480103178,Value-Add Opportunity,0.02143698822864388,0.7548389108050335,99.13159008077265,210313300.0,16825064.0,227138364.0,1,20538000.0,247676364.0,11706660.0,1.2,14047992.0,4206266.0,9841726.0,220624451.22762632,231441133.20218587,242788130.8706212,254691444.32573658,267178348.38185307,267178348.38185307,10687133.935274122,256491214.44657895,49208630.0,58023480.44657898,23.42713673177913,4.2994770390053505,0.2,1.0,4.2994770390053505,Low,Low,High,Low,17.63072945722567,Medium,Low,Low,9,18,0.5,Medium Risk,99.13159008077265
4773,465 Massachusetts Ave,Mass Ave - Central,1966300.0,677.1005509641873,274.4239192667826,Central Square,True,False,42.3640218,-71.10087521,2904,1973,51,465 Massachusetts Ave,70.0,1966300.0,274.4239192667826,Central Square,Mixed-Use,589890.0,1376410.0,0.8213927220248786,1.0,0.7617780465896135,High,1.0,1.0,0.05819911976494447,Value-Add Opportunity,0.0010865951367119713,0.7525729283452651,98.72930925637195,1966300.0,157304.0,2123604.0,1,217800.0,2341404.0,124146.0,1.1,136560.6,39326.0,97234.6,2059930.8417300917,2158020.176326524,2260780.307323815,2368433.6476795813,2481213.201162829,2481213.201162829,99248.52804651317,2381964.673116316,486173.0,526733.6731163161,22.496488137729163,4.14171554544609,0.2,1.0,4.14171554544609,Low,Medium,Low,Low,17.145405443404293,Medium,Low,Low,8,18,0.4444444444444444,Medium Risk,98.72930925637195
12211,1853-1875 Massachusetts Ave,Mass Ave - Porter,561400.0,317.3544375353307,42.0929972275477,Porter Square,True,False,42.38802734,-71.11907021,1769,1980,44,1853-1875 Massachusetts Ave,85.0,561400.0,42.0929972275477,Porter Square,Mixed-Use,168420.0,392980.0,0.35257880271112885,1.0,0.9634599052034669,Premium,1.0,0.7,0.05346881744632992,Value-Add Opportunity,0.0009982789643137781,0.7478916368335562,97.89823759450978,561400.0,44912.0,606312.0,1,132675.0,738987.0,75624.75,1.2,90749.7,11228.0,79521.7,589264.8639078123,618512.7891633281,649212.4234620057,681435.821800142,715258.6155948858,715258.6155948858,28610.34462379543,686648.2709710903,397608.5,345269.7709710903,46.72203583704318,7.968997486586082,0.2,1.0,7.968997486586082,Low,Low,Medium,Low,8.143044626653017,Low,Medium,Low,8,18,0.4444444444444444,Medium Risk,97.89823759450978
2584,255 Main St,Main St - Kendall,148011100.0,642.4260180386642,169.38735359820467,Kendall/MIT,False,True,42.36263122,-71.08497964,230394,1986,38,255 Main St,85.0,148011100.0,169.38735359820467,Kendall/MIT,Mixed-Use,44403330.0,103607770.0,0.2943171047185336,1.0,0.8529582028964757,Premium,1.0,0.8,0.8080532421164021,Value-Add Opportunity,0.015086597986949148,0.743608960176685,97.13793219640714,148011100.0,11840888.0,159851988.0,0,3455910.0,163307898.0,9849343.5,1.2,11819212.2,2960222.0,8858990.2,155194016.81864733,162725517.58825243,170622518.94225726,178902758.47125414,187584834.56369296,187584834.56369296,7503393.3825477185,180081441.18114525,44294951.0,61068494.18114525,37.394697334935536,6.559946637559255,0.2,1.0,6.559946637559255,Low,Low,High,Low,13.817154766274967,Low,Low,Low,8,18,0.4444444444444444,Medium Risk,97.13793219640714
12641,1290 Massachusetts Ave,Mass Ave - Harvard,36184700.0,735.2222854356307,251.13473887631204,Harvard Square,True,False,42.37260908,-71.11696607,49216,1986,38,1290 Massachusetts Ave,80.0,36184700.0,251.13473887631204,Harvard Square,Mixed-Use,10855410.0,25329290.0,0.13787279101415717,1.0,0.7819949214916561,High,1.0,0.8,0.02296811166895266,Value-Add Opportunity,0.0004288215790846721,0.7264847486141482,94.0978636756237,36184700.0,2894776.0,39079476.0,0,738240.0,39817716.0,2103984.0,1.1,2314382.4000000004,723694.0,1590688.4000000004,37915050.51635699,39728146.30653017,41627944.245311216,43618590.425043374,45704429.2039952,45704429.2039952,1828177.168159808,43876252.03583539,7953442.000000002,12011978.035835393,30.167421044028224,5.414525953186433,0.2,1.0,5.414525953186433,High,Low,High,Low,17.20445972780482,Medium,Low,Low,9,18,0.5,Medium Risk,94.0978636756237
