PROPERTY_ID,ADDRESS,SPATIAL_INVESTMENT_SCORE,TOTAL_VALUE,RED_LINE_DISTANCE,NEAREST_STATION
5711,6 Gordon Pl,40.0,1123900.0,1417.4214381098443,Central Square
5712,7 Gordon Pl,25.0,1817500.0,1419.5380213252254,Central Square
5713,5 Gordon Pl,25.0,1675700.0,1404.9715103248066,Central Square
5714,3 Gordon Pl,50.0,1259400.0,1391.1451381703932,Central Square
5715,1 Gordon Pl,25.0,2033900.0,1377.4032204022092,Central Square
5716,6 Florence St,25.0,1666300.0,1361.7543619846374,Central Square
5717,4 Florence St,25.0,1523700.0,1356.8073047820667,Central Square
5718,155 Magazine St,50.0,1365200.0,1344.1632463217536,Central Square
5719,159 Magazine St,50.0,1720600.0,1359.5823670744724,Central Square
5720,163 Magazine St,50.0,2042600.0,1375.7017237576397,Central Square
5721,167 Magazine St,50.0,1664600.0,1391.6110372883986,Central Square
5722,171 Magazine St,40.0,1764200.0,1406.9734265066163,Central Square
5723,177 Magazine St,50.0,1738700.0,1421.1854716310322,Central Square
5724,23 Florence St,25.0,2182000.0,1380.695640822787,Central Square
5725,176 Pleasant St,50.0,1108300.0,1369.2996018120853,Central Square
5726,174 Pleasant St,50.0,1173800.0,1360.4332403832395,Central Square
5727,170 Pleasant St,50.0,1974400.0,1348.6920219465455,Central Square
5728,226-228 Chestnut St,50.0,553500.0,1299.9391079539625,Central Square
5729,222-224 Chestnut St,15.0,,1292.1872299764077,Central Square
5730,222-224 Chestnut St,40.0,594400.0,1292.1872299764077,Central Square
5731,222-224 Chestnut St,40.0,605000.0,1292.1872299764077,Central Square
5732,222-224 Chestnut St,30.0,721400.0,1292.1872299764077,Central Square
5733,222-224 Chestnut St,15.0,756100.0,1292.1872299764077,Central Square
5734,222-224 Chestnut St,40.0,701900.0,1292.1872299764077,Central Square
5735,218-220 Chestnut St,50.0,553500.0,1284.6247770028517,Central Square
5736,13-17 Florence St,15.0,,1348.0924772608114,Central Square
191386,13-17 Florence St,15.0,1560000.0,1348.0924772608114,Central Square
191388,13-17 Florence St,25.0,2071900.0,1348.0924772608114,Central Square
191387,13-17 Florence St,15.0,1594500.0,1348.0924772608114,Central Square
5737,19 Florence St,15.0,,1358.0147734629859,Central Square
202306,19 Florence St,25.0,2409500.0,1358.0147734629859,Central Square
202307,19 Florence St,25.0,2517100.0,1358.0147734629859,Central Square
5737,19 Florence St,25.0,,1358.0147734629859,Central Square
5738,21 Florence St,40.0,1548800.0,1364.822038950578,Central Square
5739,11 Florence St,50.0,1916500.0,1339.8128560749255,Central Square
